target_x,target_y,target_z,feedback_x,feedback_y,feedback_z
755.245,299.637,1000,805.072,295.233,999.422
753.747,299.559,1000,803.113,295.477,999.418
752.249,299.474,1000,802.134,295.594,999.416
750.752,299.382,1000,800.175,295.819,999.412
749.255,299.282,1000,799.195,295.926,999.411
747.759,299.174,1000,797.235,296.131,999.408
746.264,299.06,1000,796.255,296.228,999.406
744.769,298.937,1000,794.295,296.413,999.403
743.274,298.807,1000,792.333,296.584,999.399
741.781,298.67,1000,791.351,296.665,999.397
740.288,298.525,1000,789.387,296.815,999.394
738.795,298.373,1000,788.405,296.886,999.392
737.304,298.213,1000,786.439,297.016,999.388
735.813,298.046,1000,785.456,297.076,999.386
734.324,297.871,1000,783.489,297.186,999.383
732.835,297.689,1000,782.506,297.236,999.38
731.347,297.499,1000,780.54,297.326,999.376
729.86,297.302,1000,779.558,297.366,999.374
728.374,297.098,1000,777.594,297.436,999.371
726.889,296.886,1000,776.613,297.467,999.369
725.405,296.667,1000,774.652,297.518,999.366
723.922,296.44,1000,773.671,297.539,999.365
722.44,296.206,1000,771.711,297.57,999.361
720.96,295.965,1000,770.731,297.581,999.36
719.481,295.716,1000,768.77,297.592,999.356
718.003,295.459,1000,767.789,297.593,999.355
716.526,295.196,1000,765.828,297.584,999.351
715.051,294.925,1000,764.847,297.575,999.35
713.577,294.646,1000,762.885,297.546,999.346
712.104,294.36,1000,761.904,297.527,999.344
710.633,294.067,1000,759.941,297.478,999.341
709.164,293.767,1000,758.96,297.449,999.339
707.696,293.459,1000,756.997,297.38,999.336
706.229,293.144,1000,756.016,297.34,999.334
704.764,292.821,1000,754.053,297.251,999.33
703.301,292.491,1000,753.071,297.202,999.328
701.839,292.154,1000,751.109,297.093,999.325
700.379,291.81,1000,750.127,297.034,999.323
698.921,291.458,1000,748.165,296.905,999.319
697.465,291.099,1000,747.183,296.836,999.317
696.01,290.733,1000,745.221,296.687,999.313
694.558,290.359,1000,744.24,296.608,999.312
693.107,289.978,1000,742.279,296.439,999.308
691.658,289.59,1000,741.298,296.35,999.306
690.211,289.195,1000,739.338,296.162,999.302
688.766,288.792,1000,738.358,296.063,999.3
687.323,288.383,1000,736.399,295.855,999.296
685.882,287.966,1000,735.42,295.746,999.294
684.443,287.541,1000,734.441,295.634,999.292
683.007,287.11,1000,732.484,295.4,999.288
681.572,286.671,1000,731.507,295.278,999.287
680.14,286.226,1000,729.552,295.024,999.283
678.71,285.773,1000,728.575,294.892,999.281
677.282,285.313,1000,726.623,294.618,999.277
675.857,284.846,1000,725.648,294.477,999.275
674.434,284.371,1000,723.698,294.183,999.271
673.013,283.89,1000,722.723,294.032,999.27
671.595,283.402,1000,720.775,293.718,999.266
670.179,282.906,1000,719.801,293.556,999.264
668.766,282.403,1000,717.855,293.223,999.26
667.355,281.894,1000,716.882,293.051,999.258
665.947,281.377,1000,715.91,292.876,999.256
664.541,280.853,1000,713.966,292.515,999.251
663.138,280.322,1000,712.996,292.33,999.249
661.738,279.785,1000,711.056,291.95,999.245
660.341,279.24,1000,710.087,291.755,999.243
658.946,278.688,1000,708.151,291.356,999.239
657.554,278.129,1000,707.184,291.151,999.237
656.164,277.563,1000,705.253,290.732,999.233
654.778,276.991,1000,704.288,290.518,999.231
653.395,276.411,1000,703.324,290.3,999.229
652.014,275.825,1000,701.399,289.855,999.225
650.636,275.231,1000,700.437,289.628,999.223
649.262,274.631,1000,698.516,289.163,999.219
647.89,274.024,1000,697.557,288.926,999.217
646.521,273.41,1000,695.64,288.443,999.213
645.156,272.789,1000,694.684,288.196,999.211
643.794,272.162,1000,693.728,287.946,999.209
642.434,271.527,1000,691.818,287.436,999.205
641.078,270.886,1000,690.865,287.177,999.203
639.725,270.238,1000,688.961,286.648,999.199
638.376,269.583,1000,688.01,286.379,999.197
637.03,268.922,1000,686.111,285.831,999.193
635.687,268.254,1000,685.164,285.552,999.191
634.347,267.579,1000,684.217,285.27,999.189
633.011,266.897,1000,682.326,284.696,999.185
631.678,266.209,1000,681.382,284.404,999.183
630.349,265.514,1000,679.497,283.811,999.179
629.023,264.812,1000,678.556,283.51,999.177
627.701,264.104,1000,677.617,283.205,999.175
626.382,263.389,1000,675.74,282.587,999.171
625.067,262.668,1000,674.803,282.273,999.169
623.755,261.94,1000,672.933,281.636,999.166
622.448,261.205,1000,672,281.313,999.164
621.143,260.464,1000,671.068,280.986,999.162
619.843,259.717,1000,669.206,280.324,999.158
618.546,258.963,1000,668.278,279.988,999.156
617.253,258.202,1000,666.423,279.307,999.152
615.964,257.435,1000,665.498,278.962,999.15
614.679,256.662,1000,664.574,278.614,999.148
613.398,255.882,1000,662.729,277.907,999.144
612.12,255.096,1000,661.809,277.549,999.142
610.847,254.303,1000,659.972,276.824,999.138
609.577,253.504,1000,659.055,276.457,999.136
